,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
1403,SIDHARTHNAGAR,17,13,8,20,0,20,58,57,0,2,0,16,0.0,62,34,28,25,13,15,2,0,1,20,27,0,46,0,50,295,773,48.0,3.644197563187052e-05
1404,SIDHI,31,10,4,40,0,40,100,0,72,0,0,21,0.0,107,36,71,13,7,21,0,7,54,14,100,3,68,0,100,2186,3576,116.0,5.236564870156033e-05
1405,SIKAR,65,36,0,79,0,79,202,0,53,0,0,17,0.0,876,404,472,16,6,1243,1,40,4,14,60,0,405,0,387,2753,6994,220.0,0.0002948734751934
1406,SILIGURI G. R. P.,8,2,0,1,0,1,4,0,0,1,0,1,0.0,148,0,148,0,0,0,1,0,0,0,9,0,0,0,0,45,220,0.0,2.647491151137423e-05
1407,SILIGURI PC,46,49,7,72,0,72,154,0,31,0,0,15,0.0,1125,450,675,6,77,289,8,4,265,2,165,17,503,0,113,1293,4623,3.0,0.0002673844633155
1408,SIMDEGA,77,12,1,24,0,24,15,2,12,2,0,16,0.0,40,10,30,14,1,16,0,1,5,1,5,0,13,0,0,68,421,10.0,3.143382948505545e-05
1409,SINDHUDURG,7,10,1,12,0,12,10,5,3,5,0,16,0.0,132,24,108,24,8,10,2,15,20,0,42,7,4,0,80,160,789,84.0,3.2858164627727625e-05
1410,SINGRAULI,42,29,5,88,0,88,114,67,47,0,7,15,0.0,231,59,172,37,6,10,0,22,88,17,97,1,105,0,118,1763,3349,147.0,9.53024613088876e-05
1411,SIPAHIJALA,19,12,1,19,0,19,15,0,11,0,0,3,0.0,45,10,35,16,6,18,0,12,148,1,76,0,86,0,27,98,725,28.0,2.06823964726268e-05
1412,SIRMAUR,6,3,1,28,0,28,19,15,4,0,0,2,0.0,48,19,29,41,15,27,1,4,33,0,46,2,24,0,80,280,872,50.0,2.559536815138312e-05
1413,SIROHI,41,44,0,51,0,51,66,44,2,2,1,11,0.0,126,53,73,8,6,279,2,6,67,4,78,1,276,0,194,782,2342,56.0,7.435095082312918e-05
1414,SIRSA,36,28,3,49,0,49,77,0,12,8,2,25,0.0,543,340,203,19,20,57,1,10,24,5,86,2,174,0,151,1528,3482,376.0,0.000135377476118
1415,SITAMARHI,91,335,4,11,0,11,220,188,0,20,2,63,0.0,579,276,303,345,27,16,0,37,101,29,0,0,242,0,96,2818,5453,165.0,0.0002090884606904
1416,SITAPUR,91,45,19,74,0,74,216,214,2,2,1,40,0.0,384,179,205,65,49,78,1,3,125,46,163,0,180,0,174,1919,3923,84.0,0.000164297386895
1417,SIVAGANGAI,29,60,1,15,0,15,46,2,9,6,0,86,0.0,182,42,140,71,6,129,1,13,41,3,13,0,51,0,269,1834,3738,153.0,6.799723461065608e-05
1418,SIWAN,103,222,0,17,0,17,198,152,0,12,0,57,0.0,549,284,265,425,21,100,0,3,378,64,7,0,50,0,124,2361,5003,127.0,0.0002078085281889
1419,SOLAN,5,1,0,16,0,16,24,0,14,1,0,0,0.0,73,39,34,30,15,26,0,7,21,0,31,0,12,0,61,271,947,104.0,2.571351576690431e-05
1420,SOLAPUR COMMR.,21,26,0,39,0,39,39,18,3,10,1,123,0.0,586,358,228,111,6,99,2,6,32,3,52,7,52,0,91,400,2186,231.0,0.0001527090749393
1421,SOLAPUR RURAL,87,75,9,97,0,97,93,40,39,22,9,68,0.0,1062,351,711,431,18,73,3,31,237,2,227,23,122,0,500,1829,6235,253.0,0.0002851722432078
1422,SONBHADRA,32,4,14,26,4,22,20,20,0,0,0,2,0.0,77,34,43,3,22,8,1,1,152,6,24,0,13,0,124,115,753,28.0,3.1729198523858445e-05
1423,SONEPUR,16,15,0,18,0,18,27,0,0,8,0,15,0.0,75,24,51,22,0,19,1,2,3,4,46,0,29,0,41,280,724,31.0,2.740696492270809e-05
1424,SONIPAT,110,66,4,60,0,60,83,62,21,9,3,54,0.0,940,599,341,10,22,120,0,16,49,28,98,2,162,0,358,1250,4311,364.0,0.0002392489214304
1425,SONITPUR,110,81,8,112,0,112,222,202,20,4,0,27,0.0,566,72,494,90,36,146,2,31,227,5,20,0,381,0,168,1041,3906,282.0,0.0002085272595166
1426,SOPORE,9,34,1,8,0,8,40,0,40,0,0,3,0.0,62,5,57,45,1,2,0,6,0,0,83,0,7,0,4,178,634,75.0,2.502432134303068e-05
1427,SOUTH,59,81,6,315,0,315,640,2,9,2,0,502,0.0,8734,2424,6310,75,73,581,4,47,277,10,655,668,237,0,226,2392,18339,1284.0,0.0017500714005423
1428,SOUTH 24 PARGANAS,248,280,31,341,0,341,749,162,238,33,123,43,0.0,1523,223,1300,2164,57,542,10,30,795,53,313,14,3546,0,355,8719,21049,135.0,0.0007019707757409
1429,SOUTH ANDAMAN,5,10,2,19,0,19,14,0,4,0,0,2,0.0,35,3,32,10,4,66,1,3,20,3,27,4,10,0,18,91,556,53.0,1.8516356854738244e-05
1430,SOUTH GOA,14,17,3,37,0,37,59,0,9,5,0,19,0.0,368,125,243,38,25,86,2,11,32,0,53,17,23,0,85,289,1549,141.0,9.377966981994776e-05
1431,SOUTH-EAST,67,83,7,266,0,266,683,1,52,11,0,394,0.0,7557,2477,5080,20,76,430,1,20,109,24,469,123,312,0,210,1739,14914,1065.0,0.0015332344254006
1432,SOUTH-WEST,66,88,5,234,0,234,719,1,93,10,0,403,0.0,4632,1492,3140,5,42,519,1,21,66,17,494,68,318,0,215,1369,11320,913.0,0.001023575148946
1433,SPL CELL,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,3,5,0,0,0,0,0,0,0,0,2,14,0.0,7.548319880520729e-07
1434,SPL TRAFFIC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0.0,0.0
1435,SRIKAKULAM,30,29,4,40,0,40,33,5,1,0,0,8,0.0,236,52,184,17,12,153,1,18,67,3,214,91,298,0,284,2123,4727,152.0,7.204050856404806e-05
1436,SRINAGAR,5,34,4,12,0,12,71,0,31,1,0,36,0.0,375,240,135,130,9,77,5,27,8,0,218,44,63,0,51,794,2533,238.0,0.0001014264460467
1437,ST.RAVIDASNAGAR,17,2,5,19,0,19,34,33,1,0,0,8,0.0,73,47,26,1,15,28,0,0,55,23,12,0,41,0,75,77,574,40.0,3.133209126057887e-05
1438,SUBANSIRI LOWER,4,3,1,1,0,1,7,0,7,1,0,10,0.0,18,4,14,3,0,6,0,6,22,0,6,0,3,0,0,43,160,22.0,6.698313424409917e-06
1439,SUBANSIRI UPPER,3,2,0,5,0,5,2,2,0,1,0,5,0.0,33,2,31,4,3,5,0,7,19,0,16,0,3,0,2,85,234,11.0,8.821688625582488e-06
1440,SUKMA,20,43,0,5,0,5,9,2,1,7,0,5,0.0,10,7,3,0,1,0,0,4,3,0,5,0,3,0,10,97,240,9.0,9.583084370052404e-06
1441,SULTANPUR,53,41,12,46,2,44,157,141,16,4,0,56,0.0,331,179,152,73,33,88,0,2,206,21,67,0,68,0,147,734,2421,119.0,0.0001311307257156
1442,SUNDARGARH,51,36,0,49,0,49,46,2,1,10,1,33,0.0,158,48,110,24,11,46,1,6,23,12,94,1,84,0,181,469,1655,90.0,6.1600853981467e-05
1443,SUPAUL,64,87,11,32,0,32,132,64,0,6,0,23,0.0,274,79,195,573,33,72,0,11,37,22,0,0,83,0,95,1303,3008,49.0,0.0001385969986409
1444,SURAJPUR,38,19,2,50,0,50,81,0,58,3,0,12,0.0,248,19,229,23,11,25,0,15,36,1,70,0,47,0,121,618,1753,5.0,7.640540658191439e-05
1445,SURAT CITY,85,41,8,94,0,94,263,101,34,14,2,30,0.0,1315,886,429,40,26,329,7,4,355,2,70,0,405,0,244,116,4397,257.0,0.0003509279550018
1446,SURAT RURAL,52,8,2,21,0,21,45,26,11,13,0,32,0.0,477,283,194,26,27,53,2,5,51,0,34,0,90,0,480,1174,3810,151.0,0.0001192339172083
1447,SURENDRANAGAR,34,48,0,22,0,22,44,19,12,8,1,15,0.0,232,117,115,55,26,11,1,13,133,0,36,0,89,0,203,930,2476,88.0,6.902446249004868e-05
1448,TAMENGLONG,54,45,0,2,0,2,28,3,25,0,58,2,1.0,60,4,56,19,4,9,0,48,28,0,2,0,0,0,2,190,553,1.0,3.172919852385844e-05
1449,TAPI,96,15,9,28,0,28,30,29,1,6,0,18,92.0,420,184,236,43,59,32,17,18,580,0,34,0,68,0,700,1963,4262,34.0,0.0001226930168405
1450,TARN TARAN,506,480,43,255,1,254,248,179,69,29,48,51,572.0,1065,246,819,0,96,1187,91,0,1968,64,212,1,265,0,997,2769,11026,79.0,0.0005348542554644
1451,TAWANG,13,2,1,7,0,7,2,2,0,1,0,5,76.0,153,4,149,4,7,9,5,0,80,0,37,2,4,0,45,171,627,3.0,3.7751445037230414e-05
1452,TEHRI GARHWAL,90,100,15,49,0,49,84,75,9,1,0,35,190.0,319,52,267,138,59,112,6,14,190,39,45,10,77,0,184,936,2695,2.0,0.0001402280921108
1453,THANE COMMR.,1480,986,41,990,0,990,1348,857,491,350,334,3610,13137.0,30885,13490,17395,3766,1346,8549,287,267,18612,104,2001,563,3831,0,4038,15128,113248,1595.0,0.0086049566705434
1454,THANE RURAL,1821,653,120,858,0,858,594,345,249,521,182,2111,6989.0,11882,4582,7300,3675,617,2888,108,339,9981,94,1580,466,1561,0,8002,12805,68711,864.0,0.0040026639924347
1455,THANJAVUR,782,1115,4,132,0,132,598,480,118,28,90,665,2111.0,7376,2466,4910,1421,52,559,37,358,9970,49,999,97,337,0,4668,40653,72266,165.0,0.0019874594970282
1456,THENI,403,833,7,142,0,142,478,407,71,20,1,284,1104.0,3258,688,2570,910,39,1314,23,225,7957,59,583,164,596,0,2406,30136,51052,110.0,0.0010520093417481
1457,THIRUNELVELI RURAL,1039,2369,17,579,0,579,724,630,94,22,4,625,2190.0,5475,644,4831,138,98,1707,70,798,12770,67,1304,223,1422,0,4135,58119,94115,220.0,0.0018147342468927
1458,THIRUNELVELI URBAN,223,789,2,76,0,76,162,119,43,13,3,251,511.0,2318,510,1808,150,32,447,25,69,1345,16,95,204,149,0,972,10131,18073,90.0,0.0006162218618982
1459,THIRUVALLUR,406,507,15,180,0,180,249,215,34,33,0,164,941.0,2530,418,2112,1305,48,455,21,145,7784,96,522,117,287,0,3384,25980,45320,151.0,0.0008248902421779
1460,THIRUVANNAMALAI,524,575,3,259,0,259,514,445,69,19,4,114,1130.0,3780,874,2906,1881,66,674,35,316,9226,41,317,182,318,0,3769,31394,55262,121.0,0.0012083941202815
1461,THIRUVARUR,341,505,7,96,0,96,252,209,43,18,6,145,891.0,2383,561,1822,596,38,253,14,299,8812,34,511,106,147,0,1903,26828,44275,90.0,0.0007042910636346
1462,THOOTHUGUDI,913,1728,8,300,0,300,429,295,134,32,0,496,2053.0,5663,937,4726,472,146,1207,46,388,7789,36,375,954,650,0,3524,38797,66220,214.0,0.0016545129527331
1463,THOUBAL,359,723,8,137,0,137,441,299,142,3,127,12,91.0,534,261,273,168,85,313,4,133,950,0,81,2,106,0,27,2234,6563,25.0,0.0003515515118615
1464,THRISSUR,388,497,224,410,0,410,191,100,91,134,173,724,2752.0,4345,1597,2748,6521,277,4059,37,295,12523,22,1905,225,2836,0,73,62982,101593,0.0,0.0020340129394218
1465,THRISSUR COMMR.,36,39,24,92,0,92,27,21,6,10,16,77,130.0,465,139,326,1189,34,1397,2,25,1010,1,296,77,402,0,10,12173,17607,75.0,0.0003127695570666
1466,THRISSUR RURAL,55,119,33,179,0,179,37,30,7,14,33,113,316.0,632,145,487,1697,40,1169,10,101,2473,6,739,91,1197,0,15,32906,42096,121.0,0.0004103791787564
1467,TIKAMGARH,573,446,30,769,0,769,205,150,55,27,23,376,1820.0,2116,448,1668,683,39,227,0,283,12073,239,1757,53,476,14,1106,17643,41093,115.0,0.0009374717922567
1468,TINSUKIA,1264,215,27,656,0,656,1257,1078,179,211,0,436,1695.0,6552,378,6174,441,510,314,20,155,1864,48,253,0,920,0,1054,8961,27000,147.0,0.0019732686556528
1469,TIRAP,68,43,3,14,0,14,70,21,49,19,0,62,206.0,255,25,230,7,19,14,6,7,274,1,41,0,3,0,24,574,1720,10.0,9.642486365633892e-05
1470,TIRUPATHI URBAN,138,115,4,42,0,42,94,45,49,4,0,55,487.0,2932,1093,1839,106,22,764,7,25,2642,23,144,74,426,0,849,1842,10985,190.0,0.0006747574416325
1471,TIRUPPUR,303,221,0,59,0,59,278,206,72,29,2,567,993.0,3548,1593,1955,295,72,643,17,39,2594,33,204,15,348,0,3574,16079,30156,243.0,0.0009581246518255
1472,TONK,268,339,19,246,0,246,841,716,125,5,4,112,1206.0,3855,1508,2347,1158,150,2842,6,140,14481,54,487,30,3116,3,1982,15491,46941,106.0,0.0013537846068149
1473,TOTAL,396338,346700,43731,232713,26,232687,331774,248257,83517,59028,30700,241806,1093784.0,3268984,1143353,2125631,773931,179296,741469,26198,113140,3349666,89620,445621,122367,859990,891,994361,9565372,23307480,0.0,1.0
1474,TRAFFIC PS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0.0,0.0
1475,TRICHY RLY.,11,10,2,1,0,1,1,1,0,2,1,64,18.0,835,8,827,27,5,18,0,0,187,1,16,7,4,0,59,1075,2349,5.0,0.0001501262367889
1476,TRICHY RURAL,646,518,0,156,0,156,386,330,56,32,0,267,783.0,2526,860,1666,571,13,295,22,140,6887,66,291,31,373,1,6102,29545,49715,64.0,0.0008311717570698
1477,TRICHY URBAN,249,269,5,54,0,54,203,132,71,14,4,219,805.0,5435,1323,4112,97,18,872,64,21,2463,41,138,736,356,0,1697,25175,38979,44.0,0.0011917385883712
1478,TRIVANDRUM,111,148,15,113,0,113,77,45,32,59,14,242,1314.0,1489,527,962,1856,83,791,33,144,4986,8,749,18,524,0,0,11284,24058,0.0,0.000648673073628
1479,TRIVANDRUM COMMR.,131,274,52,314,0,314,220,135,85,89,548,925,2409.0,4857,1731,3126,4863,309,3466,63,142,10020,10,1983,238,1331,0,18,34833,67201,106.0,0.0019108473321191
1480,TRIVANDRUM RURAL,378,393,148,736,0,736,323,239,84,108,219,772,3480.0,4081,1344,2737,6748,177,2694,57,385,21311,48,4526,200,3446,0,22,47404,97938,282.0,0.0020686334726477
1481,TUENSANG,56,27,6,11,0,11,9,0,9,1,0,20,58.0,103,0,103,30,12,17,6,5,10,0,3,0,0,0,16,225,615,0.0,4.1817692138084845e-05
1482,TUMKUR,972,731,50,245,0,245,325,124,201,137,31,662,3029.0,5964,1898,4066,3089,156,951,25,341,11365,190,1296,2,890,0,290,29815,60766,210.0,0.0019452775164089
1483,TAMENGLONG,4,19,0,0,0,0,9,2,7,0,0,0,0.0,12,2,10,1,0,2,0,9,6,0,0,0,0,0,0,33,125,0.0,5.093474980247031e-06
1484,TAPI,13,2,0,15,0,15,13,10,3,2,1,3,0.0,112,54,58,12,12,5,1,3,23,0,9,89,20,0,150,284,986,34.0,3.065602434954093e-05
1485,TARN TARAN,35,53,3,29,0,29,45,36,7,1,5,2,0.0,107,29,78,0,12,122,0,0,194,5,48,0,52,0,106,259,1171,81.0,5.085270284724726e-05
1486,TAWANG,1,3,0,0,0,0,0,0,0,0,0,0,0.0,14,0,14,0,0,0,0,0,2,0,1,0,0,0,2,13,40,2.0,2.559865002959204e-06
1487,TEHRI GARHWAL,6,2,3,7,0,7,13,0,13,0,0,1,0.0,19,9,10,5,1,9,0,3,9,0,0,0,7,0,10,23,122,4.0,9.33694350438325e-06
1488,THANE COMMR.,117,122,2,215,0,215,435,16,100,35,13,1315,0.0,3167,1656,1511,338,124,953,20,38,571,13,559,73,351,0,306,1931,13227,1648.0,0.0009022900578571
1489,THANE RURAL,51,23,11,75,0,75,71,2,4,27,6,230,0.0,641,277,364,168,33,301,3,26,107,3,165,39,103,0,216,761,3641,349.0,0.000202170261426
1490,THANJAVUR,70,110,0,8,0,8,56,0,32,3,12,68,0.0,296,58,238,158,5,60,0,39,59,0,62,0,31,0,450,2870,6225,157.0,9.708123929812334e-05
1491,THENI,47,53,1,8,0,8,45,45,0,2,0,38,0.0,207,50,157,75,2,133,0,10,13,6,30,0,58,0,214,2511,4554,103.0,7.394071604701393e-05
1492,THIRUNELVELI,108,365,0,36,0,36,47,0,46,2,0,107,0.0,289,91,198,0,5,276,5,75,29,5,47,0,147,0,413,4701,8490,253.0,0.000123595533348
1493,THIRUNELVELI CITY,18,106,1,6,0,6,7,2,0,0,0,73,0.0,206,107,99,0,0,63,0,3,1,0,3,0,19,0,92,658,1623,59.0,5.61857549367456e-05
1494,THIRUVALLUR,37,46,2,8,0,8,9,9,0,3,9,25,0.0,169,32,137,144,1,74,1,9,17,4,2,2,15,0,383,1949,4037,127.0,5.826974759941111e-05
1495,THIRUVANNAMALAI,47,99,4,16,0,16,65,29,0,1,7,7,0.0,278,111,167,115,3,64,0,15,30,6,14,0,35,0,420,1915,4411,137.0,8.741282609463897e-05
1496,THIRUVARUR,26,38,0,2,0,2,27,23,4,5,2,36,0.0,176,48,128,34,1,34,0,26,9,1,2,1,7,0,185,2502,4041,104.0,4.9976441365465074e-05
1497,THOOTHUGUDI,89,143,1,16,0,16,15,12,3,5,0,65,0.0,352,126,226,0,19,100,1,35,36,0,44,0,73,0,335,2734,5344,208.0,0.0001010063656359
1498,THOUBAL,15,47,1,19,0,19,61,47,8,0,0,0,0.0,157,120,37,29,19,29,1,6,88,0,35,0,16,0,44,39,768,13.0,5.5020688172578274e-05
1499,THRISSUR COMMR.,17,17,2,38,0,38,8,0,8,5,0,34,0.0,165,57,108,98,14,362,3,12,67,0,109,11,130,0,100,1918,6548,83.0,7.706506410190772e-05
1500,THRISSUR RURAL,24,57,7,94,0,94,10,6,4,1,4,68,0.0,263,97,166,278,9,467,4,47,165,2,298,22,468,0,261,2430,20117,141.0,0.0001331261076667
1501,TIKAMGARH,36,25,3,92,0,92,79,0,0,1,1,25,0.0,128,57,71,35,3,17,0,12,196,15,133,6,42,0,121,1810,3458,165.0,6.450531619636302e-05
1502,TINSUKIA,90,44,0,66,0,66,143,64,79,6,2,45,0.0,679,125,554,47,88,96,1,16,109,3,66,0,164,0,114,1206,3309,106.0,0.0001916321504971
1503,TIRAP,2,10,0,3,0,3,10,2,2,0,0,3,0.0,12,1,11,0,1,5,0,0,6,0,2,0,0,0,0,42,117,9.0,5.316642698453732e-06
1504,TIRUPATHI URBAN,35,72,2,18,0,18,24,9,12,2,0,8,0.0,1148,482,666,31,11,248,7,11,3,13,60,21,167,0,223,886,3651,227.0,0.0002409423705862
1505,TIRUPPUR,36,24,0,6,0,6,60,36,19,3,0,61,0.0,220,70,150,33,20,80,2,7,8,3,15,0,33,0,575,1163,4049,169.0,7.162699190972388e-05
1506,TIRUPPUR CITY,20,38,1,5,0,5,24,13,6,0,0,55,0.0,338,285,53,22,7,106,2,3,6,0,7,0,22,0,164,981,2490,110.0,8.830877884567469e-05
1507,TONK,30,21,2,52,0,52,77,75,2,0,0,7,0.0,371,188,183,69,7,376,1,4,96,5,129,3,316,0,242,2554,4663,114.0,0.0001316197255688
1508,TOTAL,34134,41898,3349,38678,199,38479,78412,31184,19614,4399,2835,38090,0.0,442464,186035,256429,66206,20089,109737,1979,9299,105560,8458,82411,9738,123163,14,128837,944105,2858939,114667.0,0.1237911168798653
1509,TRICHY,39,32,0,8,0,8,30,30,0,1,0,34,0.0,140,33,107,66,0,57,1,0,3,2,51,0,48,0,431,2459,4688,55.0,5.114479000784133e-05
1510,TRICHY CITY,24,9,0,3,0,3,7,0,4,0,0,24,0.0,307,66,241,10,0,102,2,0,13,0,10,3,27,0,179,1772,3074,41.0,6.794800643752226e-05
1511,TRIVANDRUM COMMR.,13,23,2,56,0,56,14,3,1,1,27,59,0.0,325,88,237,226,19,294,14,10,48,2,254,15,134,0,125,1692,12504,147.0,0.0001179999310017
1512,TRIVANDRUM RURAL,45,78,8,122,0,122,19,10,0,11,6,83,0.0,338,117,221,416,8,361,2,29,209,6,581,22,387,0,250,3074,12024,472.0,0.0001622593405273
1513,TUENSANG,0,0,0,1,0,1,2,0,0,0,0,0,0.0,20,0,20,2,0,1,0,0,0,0,0,0,0,0,0,18,48,0.0,3.918562581452935e-06
1514,TUMAKURU,55,50,3,36,0,36,34,0,34,7,1,50,0.0,293,157,136,197,15,176,0,13,44,15,242,8,87,0,554,1040,4523,140.0,0.0001087089337923
1515,UDAIPUR,897,1076,67,1124,0,1124,2085,1719,366,27,31,782,3278.0,8491,3656,4835,3049,332,7521,31,529,19542,141,1865,20,3832,0,4414,32701,92102,267.0,0.0034503041986039
1516,UDALGURI,368,111,1,239,0,239,477,302,175,75,1,116,421.0,875,132,743,211,71,117,13,138,909,28,229,0,346,0,342,2196,7339,55.0,0.0004339397824183
1517,UDHAMPUR,131,230,8,191,0,191,160,147,13,5,0,18,681.0,850,153,697,401,51,113,2,47,121,10,217,164,104,0,26,9980,13553,43.0,0.0003475870029851
1518,UDHAMSINGH NAGAR,698,652,112,283,0,283,783,646,137,114,8,432,823.0,4986,2196,2790,1261,342,979,52,7,1451,186,401,60,969,0,1384,8019,24064,62.0,0.0015364473841671
1519,UDUPI,241,200,14,97,0,97,112,37,75,54,12,296,1533.0,1517,582,935,1665,87,468,35,63,3844,13,372,12,373,0,90,19353,30561,110.0,0.0006672222492648
1520,UJJAIN,850,1835,16,951,0,951,500,395,105,70,32,1167,5944.0,15141,4867,10274,1441,324,866,23,440,10461,180,2360,490,2241,1,1773,58342,105811,363.0,0.003930534873159
1521,UKHRUL,64,113,1,7,0,7,29,8,21,2,31,7,22.0,85,6,79,16,62,43,0,80,35,0,3,0,2,0,0,260,865,3.0,4.664205310520026e-05
1522,UMARIYA,260,110,215,346,0,346,69,52,17,11,5,132,1054.0,1047,194,853,191,16,157,0,104,1776,47,832,62,328,0,83,10218,17162,99.0,0.000444225188725
1523,UNA,122,68,12,125,0,125,132,105,27,8,0,27,639.0,861,301,560,507,137,349,11,77,1254,3,190,46,376,0,711,5984,11691,52.0,0.0003511150220597
1524,UNAKOTI,18,15,1,63,0,63,28,25,3,1,0,11,5.0,82,10,72,8,8,39,7,10,284,7,44,3,143,0,1,179,966,9.0,4.2926966972700495e-05
1525,UNNAO,1169,912,357,491,0,491,1148,1030,118,51,11,401,692.0,2514,735,1779,689,480,814,15,50,2700,556,788,365,1251,0,2366,9729,27617,68.0,0.001236112863634
1526,UPPER DIBANG VALLEY,13,6,0,0,0,0,3,2,1,0,0,2,32.0,19,0,19,5,6,0,0,0,22,0,1,0,0,0,6,48,163,0.0,9.484628023784743e-06
1527,UTTAR DINAJPUR,730,1246,168,904,0,904,1320,1090,230,141,151,262,84.0,4220,898,3322,791,148,362,69,207,7211,155,946,12,3888,1,1039,12913,36970,2.0,0.0014993916973102
1528,UTTAR KANNADA,302,248,57,90,0,90,134,96,38,36,6,185,974.0,1081,342,739,1216,102,403,19,115,4827,23,787,61,719,0,0,21704,33156,67.0,0.0005119401818097
1529,UTTARKASHI,52,43,13,68,0,68,81,65,16,0,0,20,163.0,260,20,240,168,41,61,0,24,58,10,60,21,75,0,2,971,2198,7.0,0.000118758044868
1530,UDAIPUR,90,126,2,229,0,229,378,174,122,7,5,124,0.0,865,390,475,107,13,1063,3,30,59,8,479,3,723,0,449,3238,9868,367.0,0.0003805830064976
1531,UDALGURI,46,28,0,34,0,34,73,61,10,3,0,20,0.0,132,30,102,18,21,24,3,21,143,9,35,0,81,0,38,621,1453,61.0,5.96382908125316e-05
1532,UDHAMPUR,8,17,1,30,0,30,19,10,0,0,0,0,0.0,54,21,33,3,3,7,0,5,6,0,23,13,18,0,56,398,1157,48.0,2.217236917947741e-05
1533,UDHAMSINGH NAGAR,55,50,4,49,0,49,66,0,65,4,0,31,0.0,468,313,155,109,32,6,0,0,56,10,67,0,71,0,231,759,2234,53.0,0.0001323351750183
1534,UDUPI,22,23,0,28,0,28,19,0,8,6,1,38,0.0,126,56,70,79,14,129,4,11,17,3,111,1,57,0,205,487,2496,94.0,5.42363192806459e-05
1535,UJJAIN,67,134,2,126,0,126,148,47,32,3,2,54,0.0,1103,668,435,66,28,45,2,7,114,11,282,29,285,0,208,4323,9141,434.0,0.0002832621900902
1536,UKHRUL,10,11,0,1,0,1,3,0,3,0,0,0,0.0,4,2,2,1,2,1,0,5,3,0,0,0,0,0,1,9,58,2.0,3.6822673504105474e-06
1537,UMARIA,17,6,0,51,0,51,91,42,0,1,2,12,0.0,78,24,54,11,4,16,0,5,31,2,104,3,90,0,0,1546,2172,102.0,4.5263664257453e-05
1538,UNA,9,2,2,23,0,23,16,7,5,1,0,1,0.0,46,12,34,38,6,64,0,6,67,1,31,1,62,0,80,385,1083,49.0,2.48635093107935e-05
1539,UNAKOTI,8,9,0,24,0,24,11,9,2,0,0,4,0.0,22,8,14,19,2,9,2,3,127,1,29,2,50,0,14,24,401,9.0,1.5775988550288324e-05
1540,UNNAO,77,31,24,69,7,62,268,235,30,2,1,44,0.0,334,141,193,46,53,135,0,0,35,31,237,0,218,0,318,1127,3438,82.0,0.0001633292328234
1541,UTTAR DINAJPUR,90,346,10,187,0,187,350,1,51,9,15,63,0.0,721,204,517,29,43,161,10,47,2793,9,157,13,779,0,2,1741,8312,4.0,0.0002541256753514
1542,UTTARA KANNADA,21,26,0,25,0,25,32,0,3,4,0,29,0.0,111,50,61,103,9,108,0,13,38,0,154,6,56,0,245,642,2783,105.0,5.07247095970993e-05
1543,UTTARKASHI,2,0,1,9,0,9,15,2,13,0,0,1,0.0,7,1,6,8,0,4,0,0,1,0,7,1,8,0,1,11,92,9.0,7.075729418435953e-06
1544,VADODARA COMMR.,375,379,12,100,0,100,592,487,105,119,6,697,4353.0,17329,10249,7080,1899,593,2167,83,449,4180,1,276,58,2656,0,1839,41649,80234,422.0,0.0041313726920322
1545,VADODARA RURAL,932,204,23,225,0,225,660,626,34,173,0,209,923.0,3004,1213,1791,652,628,296,73,303,4426,0,338,1,984,0,3672,21859,39673,88.0,0.0010848084325681
1546,VAISHALI,1414,1294,153,330,0,330,2108,1255,853,198,36,690,1629.0,6461,2112,4349,3860,1129,1326,43,313,5426,918,321,1,1343,5,1803,23789,54782,192.0,0.0025135773927005
1547,VALSAD,430,135,7,111,0,111,278,203,75,135,7,232,1994.0,4511,2190,2321,436,506,421,68,83,2508,1,137,0,387,0,1087,16191,29889,224.0,0.0012447770221056
1548,VARANASI,810,806,252,229,0,229,896,704,192,31,20,563,1412.0,8293,5466,2827,1033,1323,2558,226,56,2765,396,381,706,1755,0,1881,12736,39307,179.0,0.0024263188148817
1549,VELLORE,937,689,43,325,1,324,706,562,144,35,0,244,2318.0,7484,2696,4788,1069,102,886,222,294,15756,106,494,181,524,0,7063,58550,98325,297.0,0.0020795686908398
